"tilskuddsnummer";"tilskuddsmottakerOrganisasjonsnummer";"tilskuddsmottakerNavn";"kommunenummer";"kommune";"fylkesnummer";"fylke";"naeringskode1";"naeringskode2";"naeringskode3";"tilskuddsbelop";"tildelingsdato";"tilskuddsperiode";"sammenligningsperiode";"sumFasteUungaaeligeKostanderITilskuddsperioden";"omsetningITilskuddsperiode";"omsetningISammenligningsperiode";"justeringsfaktor";"uavhengigMedsignererOrganisasjonsnummer";"uavhengigMedsignererNavn"
"2021009917";"913686454";"AKTIV365 SANDSLI AS";"4601";"BERGEN";"4600";"Vestland";"93.130";"";"";"125488,00";"2021-03-08T00:00";"november-desember2020";"november-desember2019";"327907,57";"766608,00";"1394409,00";"0.85";"988782041";"COLLEGIUM REVISJON AS"
"2021009916";"988237612";"GOLDER ASSOCIATES AS (NORWAY)";"3005";"DRAMMEN";"3000";"Viken";"71.129";"";"";"208706,41";"2021-03-08T00:00";"november-desember2020";"november-desember2019";"554372,00";"5147270,00";"9239568,00";"0.85";"993606650";"BDO AS"
"2021009915";"967265403";"ANITA GULBRANDSEN LØKEN";"3020";"NORDRE FOLLO";"3000";"Viken";"49.320";"";"";"15008,28";"2021-03-08T00:00";"november-desember2020";"november-desember2019";"34995,00";"196945,00";"397509,00";"0.85";"922829845";"PARTNER REVISJON AS"
"2021009914";"918718761";"THAI AROMA MASSASJE AS";"0301";"OSLO";"0300";"Oslo";"96.040";"";"";"7950,66";"2021-03-08T00:00";"november-desember2020";"november-desember2019";"24905,00";"81300,00";"130200,00";"0.85";"913423585";"MYHRERS RTB AS"
"2021009913";"919965614";"GLH LADE AS";"5001";"TRONDHEIM";"5000";"Trøndelag Trööndelage";"47.599";"";"";"83134,37";"2021-03-08T00:00";"september-oktober2020";"september-oktober2019";"287994,00";"2328281,00";"3962232,00";"0.70";"989271733";"VEKTE AS"
"2021009911";"922993750";"SIMAPG AS";"3421";"TRYSIL";"3400";"Innlandet";"55.101";"";"";"7621,29";"2021-03-08T00:00";"november-desember2020";"november-desember2019";"27440,00";"38018,00";"56470,00";"0.85";"934211324";"REGNEBUA AS"
"2021009910";"960359275";"VIKEDAL & UELAND AS";"1119";"HÅ";"1100";"Rogaland";"43.990";"";"";"16336,52";"2021-03-08T00:00";"november-desember2020";"november-desember2019";"63229,00";"1486505,00";"2135677,00";"0.85";"948114194";"SECANT AS"
"2021009909";"998497264";"PERG AS";"1820";"ALSTAHAUG";"1800";"Nordland";"55.201";"";"";"55771,67";"2021-03-08T00:00";"september-oktober2020";"september-oktober2019";"89392,00";"29503,00";"271381,00";"0.70";"851987142";"SPAREBANK 1 REGNSKAPSHUSET NORD-NORGE AS"
"2021009908";"921568339";"PAPAYA BUTIKKDRIFT AS";"0301";"OSLO";"0300";"Oslo";"47.789";"47.911";"";"47148,72";"2021-03-08T00:00";"september-oktober2020";"september-oktober2019";"179101,00";"542127,00";"868897,00";"0.70";"921676891";"C REGNSKAP AS"
"2021009907";"921568339";"PAPAYA BUTIKKDRIFT AS";"0301";"OSLO";"0300";"Oslo";"47.789";"47.911";"";"95130,81";"2021-03-08T00:00";"november-desember2020";"november-desember2019";"183768,00";"1015785,00";"2598056,00";"0.85";"921676891";"C REGNSKAP AS"
"2021009906";"871467072";"HOLT DAG";"3030";"LILLESTRØM";"3000";"Viken";"49.320";"";"";"15052,11";"2021-03-08T00:00";"november-desember2020";"november-desember2019";"43897,00";"238772,00";"400226,00";"0.85";"943539677";"JOTRO REGNSKAP AS"
"2021009905";"911791366";"OSLO KONGRESSENTER FOLKETS HUS AS";"0301";"OSLO";"0300";"Oslo";"68.209";"56.101";"";"836555,22";"2021-03-08T00:00";"november-desember2020";"november-desember2019";"1611163,00";"7954724,00";"20441400,00";"0.85";"971142952";"LUNDES REVISJONSKONTOR DA"
"2021009904";"918057684";"MAKALAUS MAT AS";"3043";"ÅL";"3000";"Viken";"68.209";"";"";"22444,26";"2021-03-08T00:00";"november-desember2020";"november-desember2019";"81424,00";"288597,00";"427102,00";"0.85";"911994453";"GT DATA REGNSKAP AS"
"2021009902";"996628159";"FRANKLIN HUMAN RESOURCES AS";"1103";"STAVANGER";"1100";"Rogaland";"78.200";"";"";"16309,04";"2021-03-08T00:00";"september-oktober2020";"september-oktober2019";"36852,00";"1303458,00";"3544138,00";"0.70";"987655887";"REVISOR-PARTNER AS"
